postulationDate,studyCenter,careerField,careerStatus,careerDegree,studiesNumber
2021-08-31,Universidad Peruana De Ciencias Aplicadas,Contabilidad / Auditoria,En Curso,Universitario,2
2021-08-31,Universidad Peruana De Ciencias Aplicadas,Adm. De Empresas,Graduado,Universitario,1
2021-09-07,Pontificia Universidad Catolica Del Peru,Psicologia,Graduado,Universitario,1
2021-08-31,Escuela De Post Grado - Universidad San Ignacio De Loyola,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,5
2021-08-31,Centro De Capacitacion Y Educacion Continua Fide,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,3
2021-08-31,Universidad Cesar Vallejo,Adm. De Empresas,Graduado,Universitario,1
2021-08-31,Florida International University,Psicologia,Graduado,Universitario,3
2021-08-31,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,Graduado,Universitario,1
2021-08-31,Ilustre Colegio De Abogados De Lima - Cal,Otra,Graduado,Master,12
2021-08-31,Pontificia Universidad Catolica Del Peru,Recursos Humanos / Relac. Ind.,En Curso,Otro,2
2021-08-31,Universidad Peruana Los Andes - Upla,Contabilidad / Auditoria,Graduado,Universitario,1
2021-08-31,Universidad Peruana De Ciencias Aplicadas,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,3
2021-08-31,Utp,Adm. De Empresas,En Curso,Universitario,2
2021-09-07,Universidad Peruana Los Andes - Upla,Psicologia,Graduado,Universitario,1
2021-08-31,Universidad Del Pacifico,Adm. De Empresas,Graduado,Universitario,1
2021-08-31,Pontificia Universidad Catolica Del Peru,Recursos Humanos / Relac. Ind.,Graduado,Otro,5
2021-08-31,Asociacion Automotriz Del Peru,Recursos Humanos / Relac. Ind.,Graduado,Otro,7
2021-08-31,Universidad De Lima,Adm. De Empresas,Graduado,Universitario,1
2021-08-31,Pontificia Universidad Catolica Del Peru,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,3
2021-08-31,Otros,Otra,Graduado,Otro,3
2021-08-31,Universidad Del Pacifico,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,5
2021-08-31,Centro Cultural De La Pontificia Universidad Catolica,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,3
2021-08-31,Universidad Privada Del Norte,Psicologia,Graduado,Universitario,1
2021-08-31,Universidad Nacional Del Callao,Adm. De Empresas,En Curso,Universitario,2
2021-09-07,Universidad Autonoma,Adm. De Empresas,En Curso,Posgrado,3
2021-08-30,Universidad Privada Del Norte,Psicologia,Graduado,Universitario,2
2021-08-30,Idat,Recursos Humanos / Relac. Ind.,Graduado,Otro,2
2021-08-30,Universidad Ricardo Palma,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,3
2021-08-30,Usil,Adm. De Empresas,Abandonado,Otro,1
2021-08-30,Universidad De Lima,Psicologia,En Curso,Universitario,1
2021-08-30,Universidad Peruana De Ciencias Aplicadas,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,4
2021-08-30,Universidad Cesar Vallejo,Bachiller,Graduado,Universitario,1
2021-08-30,Cimas,Adm. De Empresas,Graduado,Terciario/Tecnico,8
2021-08-30,Universidad Nacional Mayor De San Marcos,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,3
2021-08-30,Universidad Del Pacifico,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,4
2021-09-09,Instituto Superior Tecnologico Araoz Pinto,Adm. De Empresas,Graduado,Otro,1
2021-09-07,Universidad Nacional Federico Villarreal,Psicologia,Graduado,Universitario,1
2021-08-30,Universidad San Martin De Porres,Psicologia,Graduado,Universitario,1
2021-08-30,Univesidad Privada Cesar Vallejo,Psicologia,En Curso,Universitario,2
2021-08-30,Le Cordon Bleu Peru,Hoteleria,Graduado,Posgrado,2
2021-08-30,Red Latina De Rrhh,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,18
2021-08-30,Universidad De San Martin De Porres,Adm. De Empresas,En Curso,Universitario,1
2021-08-30,Universidad De Lima,Psicologia,Graduado,Universitario,1
2021-08-30,Universidad Catolica Sedes Sapientiae,Adm. De Empresas,Abandonado,Universitario,1
2021-08-30,Usil,Adm. De Empresas,En Curso,Universitario,1
2021-08-30,Campus Virtual Romero,Adm. De Empresas,Graduado,Otro,4
2021-08-30,Universidad Del Pacifico,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,2
2021-09-07,Universidad Catolica San Pablo,Adm. De Empresas,Graduado,Universitario,1
2021-08-30,Universidad Nacional Mayor De San Marcos,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,2
2021-08-30,Universidad Del Pacifico,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,2
2021-08-30,Ipae -Instituto Peruano De Accion Empresarial,Recursos Humanos / Relac. Ind.,Graduado,Otro,7
2021-08-30,Otros,Otra,Graduado,Otro,13
2021-08-30,Centro De Entrenamiento Tecnico De Logistica - Cetlog,Capacitacion Comercio Exterior,Graduado,Posgrado,4
2021-08-30,Asociacion Cultural Peruano Britanica,Ing. - Otros,Abandonado,Otro,2
2021-08-30,Camara Peruana De Sst,Medio Ambiente,Graduado,Otro,4
2021-08-29,Universidad De San Martin De Porres,Recursos Humanos / Relac. Ind.,Graduado,Universitario,1
2021-08-29,Universidad Peruana De Ciencias Aplicadas,Recursos Humanos / Relac. Ind.,Graduado,Otro,4
2021-08-29,Universidad Privada Del Norte,Ing. Informatica,En Curso,Universitario,2
2021-09-07,Universidad Peruana De Ciencias Aplicadas,Recursos Humanos / Relac. Ind.,Graduado,Universitario,1
2021-08-29,Universidad Nacional Mayor De San Marcos,Recursos Humanos / Relac. Ind.,Graduado,Otro,2
2021-08-29,Idat,Computacion / Informatica,Graduado,Terciario/Tecnico,2
2021-08-29,Universidad De San Martin De Porres,Psicologia,Graduado,Universitario,1
2021-08-29,Universidad Nacional Federico Villarreal,Psicologia,Graduado,Universitario,1
2021-08-29,Universidad Nacional Agraria La Molina,Seguridad Industrial,Graduado,Otro,2
2021-08-29,Colegio De Abogados Del Callao,Recursos Humanos / Relac. Ind.,Graduado,Otro,6
2021-08-29,Universidad Privada Del Norte,Psicologia,Graduado,Universitario,1
2021-08-29,Instituto Tecnologico Y De Estudios Superiores De Monterrey,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,7
2021-08-29,Isil,Recursos Humanos / Relac. Ind.,Graduado,Otro,2
2021-08-29,Universidad Privada Del Norte,Ing. Industrial,En Curso,Universitario,2
2021-09-07,Universidad San Ignacio Del Loyola,Adm. De Empresas,Graduado,Universitario,1
2021-08-29,Escuela De Postgrado De La Upc,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,3
2021-08-29,Universidad Mayor De San Marcos,Recursos Humanos / Relac. Ind.,Graduado,Universitario,6
2021-08-29,Upc,Adm. De Empresas,Graduado,Universitario,1
2021-08-29,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,En Curso,Universitario,1
2021-08-29,Camara De Comercio De Lima,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,3
2021-08-28,Ceps Uni,Analisis De Sistemas,Graduado,Otro,5
2021-08-28,Universidad Privada Del Norte,Abogacia / Derecho / Leyes,En Curso,Universitario,2
2021-08-28,Universidad Peruana De Ciencias Aplicadas,Recursos Humanos / Relac. Ind.,Graduado,Universitario,1
2021-08-28,Universidad Nacional Mayor De San Marcos,Psicologia,Graduado,Universitario,1
2021-08-28,Real Systems,Recursos Humanos / Relac. Ind.,Graduado,Otro,5
2021-09-06,Opalo,Recursos Humanos / Relac. Ind.,Graduado,Otro,6
2021-08-28,Camara Nacional De Comercio Del Peru,Ing. Industrial,Graduado,Otro,8
2021-08-28,Pontificia Universidad Catolica Del Peru,Recursos Humanos / Relac. Ind.,Graduado,Otro,3
2021-08-28,Centro Cultural De La Pontificia Universidad Catolica,Recursos Humanos / Relac. Ind.,Graduado,Otro,3
2021-08-28,Universidad Cesar Vallejo,Adm. De Empresas,Graduado,Universitario,1
2021-08-28,Universidad Esan,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,3
2021-08-28,Universidad De San Martin De Porres,Recursos Humanos / Relac. Ind.,En Curso,Master,4
2021-08-28,Pacifico Business School,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,2
2021-08-28,Enace,Otra,Graduado,Otro,10
2021-08-28,Universidad De Lima,Psicologia,Graduado,Universitario,1
2021-08-28,Universidad Peruana De Ciencias Aplicadas,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,4
2021-09-06,Universidad Jose Faustino Sanchez Carrion - Huacho,Contabilidad / Auditoria,Graduado,Universitario,1
2021-08-28,Instituto Cibertec,Recursos Humanos / Relac. Ind.,En Curso,Terciario/Tecnico,1
2021-08-28,Cepeban - Centro Peruano De Estudios Bancarios,Otra,Graduado,Otro,2
2021-08-28,Gaceta Laboral,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,8
2021-08-28,Universidad De San Martin De Porres,Adm. De Empresas,Graduado,Universitario,4
2021-08-28,Universidad Nacional Mayor De San Marcos,Psicologia,En Curso,Universitario,1
2021-08-28,Universidad Ricardo Palma,Recursos Humanos / Relac. Ind.,Graduado,Universitario,1
2021-08-28,Pontificia Universidad Catolica Del Peru,Contabilidad / Auditoria,Graduado,Posgrado,4
2021-08-28,Laureate International Universities,Psicologia,Graduado,Otro,8
2021-08-28,Universidad San Ignacio Del Loyola,Adm. De Empresas,Graduado,Universitario,4
2021-08-28,Universidad Esan,Seguridad Industrial,Graduado,Otro,3
2021-09-06,Ipae -Instituto Peruano De Accion Empresarial,Adm. De Empresas,Graduado,Otro,2
2021-08-28,Ministerio De Transporte,Otra,Graduado,Otro,5
2021-08-28,Universidad Peruana De Ciencias Aplicadas,Recursos Humanos / Relac. Ind.,En Curso,Universitario,2
2021-08-28,Universidad Nacional De Ingenieria,Abogacia / Derecho / Leyes,Graduado,Otro,2
2021-08-28,Ipae -Instituto Peruano De Accion Empresarial,Recursos Humanos / Relac. Ind.,En Curso,Otro,3
2021-08-28,Universidad Privada De Piura,Ing. Informatica,Graduado,Universitario,1
2021-08-28,Fide - Universidad Nacional Mayor De San Marcos,Otra,Graduado,Otro,3
2021-08-28,Universidad Peruana De Ciencias Aplicadas,Psicologia,Graduado,Universitario,2
2021-08-28,Universidad De Lima,Adm. De Empresas,Graduado,Universitario,1
2021-08-28,Unp,Contabilidad / Auditoria,Graduado,Universitario,1
2021-08-28,Ceps - Uni,Computacion / Informatica,Graduado,Posgrado,2
2021-09-06,Instituto Superior Sise,Otra,Graduado,Otro,3
2021-08-28,Universidad Ricardo Palma,Adm. De Empresas,En Curso,Universitario,1
2021-08-28,Universidad Peruana De Ciencias Aplicadas,Adm. De Empresas,En Curso,Universitario,2
2021-08-28,Senati,Adm. De Empresas,Graduado,Terciario/Tecnico,1
2021-08-28,Upc,Ing. Industrial,En Curso,Universitario,3
2021-08-28,Universidad Cientifica Del Sur,Adm. De Empresas,Graduado,Universitario,1
2021-08-28,Universidad Privada Antenor Orrego - Trujillo,Geografia,En Curso,Universitario,2
2021-08-28,Escuela De Formacion Contable &Amp; Negocios,Recursos Humanos / Relac. Ind.,Graduado,Terciario/Tecnico,4
2021-08-28,Universidad Cesar Vallejo,Adm. De Empresas,Graduado,Universitario,1
2021-08-28,Universidad Ricardo Palma,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,3
2021-08-28,Universidad Nacional Jose Faustino Sanchez Carrion,Bachiller,Graduado,Universitario,1
2021-09-06,Pontificia Universidad Catolica Del Peru,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,4
2021-08-28,Escuela Empresarial Del Peru,Recursos Humanos / Relac. Ind.,Graduado,Otro,2
2021-08-28,Encape,Recursos Humanos / Relac. Ind.,Graduado,Otro,5
2021-08-28,Universidad Ricardo Palma,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,4
2021-08-28,Enad - Escuela Nacional De Direccion Y Gerencia,Recursos Humanos / Relac. Ind.,Graduado,Otro,4
2021-08-28,Icpna,Otra,En Curso,Otro,2
2021-08-28,Universidad Peruana De Ciencias Aplicadas,Recursos Humanos / Relac. Ind.,En Curso,Universitario,2
2021-08-28,Universidad Cesar Vallejo Lima Norte,Adm. De Empresas,Graduado,Universitario,2
2021-08-28,Universidad Cesar Vallejo,Adm. De Empresas,Graduado,Universitario,2
2021-08-28,Iberoamericano,Finanzas,Graduado,Otro,3
2021-08-28,Pontificia Universidad Catolica Del Peru,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,6
2021-09-06,Ipae -Instituto Peruano De Accion Empresarial,Recursos Humanos / Relac. Ind.,Graduado,Otro,3
2021-08-28,Universidad Privada Del Norte,Adm. De Empresas,Graduado,Universitario,1
2021-08-28,Universidad Privada Del Norte,Ing. Industrial,Graduado,Universitario,3
2021-08-28,Upc,Recursos Humanos / Relac. Ind.,Graduado,Otro,3
2021-08-28,Certus,Recursos Humanos / Relac. Ind.,En Curso,Otro,5
2021-08-28,Camara Peruana De Comercio Exterior,Recursos Humanos / Relac. Ind.,En Curso,Otro,2
2021-08-28,Universidad De San Martin De Porres,Adm. De Empresas,Graduado,Universitario,1
2021-08-28,Universidad Tecnologica Del Peru,Comercio Int./Ext.,Graduado,Universitario,1
2021-08-28,Ipae,Recursos Humanos / Relac. Ind.,En Curso,Otro,4
2021-08-28,Universidad Privada Del Norte,Adm. De Empresas,En Curso,Universitario,1
2021-08-28,Zeegel Ipae,Recursos Humanos / Relac. Ind.,En Curso,Universitario,3
2021-09-09,Esan / Carlos Iii Espana,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,5
2021-09-06,Universidad De San Martin De Porres,Recursos Humanos / Relac. Ind.,Graduado,Terciario/Tecnico,2
2021-08-27,Universidad Inca Garcilaso De La Vega,Ing. - Otros,Graduado,Universitario,1
2021-08-27,Universidad Ricardo Palma,Psicologia,Graduado,Universitario,1
2021-08-27,Ipae,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,3
2021-08-27,Universidad Nacional Mayor De San Marcos,Adm. De Empresas,Graduado,Universitario,1
2021-08-27,Universidad Pontificia Comillas (Icai-Icade),Adm. De Empresas,Graduado,Universitario,2
2021-08-27,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,Graduado,Universitario,1
2021-08-27,Universidad Privada Del Norte,Psicologia,En Curso,Universitario,1
2021-08-27,Upc,Ing. Industrial,En Curso,Universitario,2
2021-08-27,Upc,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,3
2021-08-27,Universidad Continental De Ciencias E Ingenieria,Ing. - Otros,En Curso,Universitario,4
2021-09-06,Itsystems,Recursos Humanos / Relac. Ind.,Graduado,Otro,2
2021-08-27,Universidad Nacional San Luis Gonzaga - Ica,Adm. De Empresas,Graduado,Universitario,2
2021-08-27,Universidad Cesar Vallejo,Abogacia / Derecho / Leyes,Graduado,Universitario,1
2021-08-27,Desarrollo Global,Contabilidad / Auditoria,Graduado,Universitario,5
2021-08-27,Cursos Contables Peru,Contabilidad / Auditoria,Graduado,Universitario,1
2021-08-27,Red Latina De Recursos Humanos,Recursos Humanos / Relac. Ind.,Graduado,Otro,2
2021-08-27,Universidad Cientifica Del Sur,Adm. De Empresas,Graduado,Universitario,2
2021-08-27,Camara De Comercio Nacional,Recursos Humanos / Relac. Ind.,Graduado,Otro,3
2021-08-27,Universidad De San Martin De Porres,Recursos Humanos / Relac. Ind.,En Curso,Otro,4
2021-08-27,Total Reward,Recursos Humanos / Relac. Ind.,Graduado,Otro,5
2021-08-27,Universidad Nacional Federico Villarreal,Psicologia,Graduado,Universitario,4
2021-09-06,Idat,Otra,En Curso,Terciario/Tecnico,2
2021-08-27,Adph Consultores,Recursos Humanos / Relac. Ind.,Graduado,Otro,4
2021-08-27,Universidad Cesar Vallejo,Psicologia,Graduado,Universitario,1
2021-08-27,Universidad Nacional Del Callao,Adm. De Empresas,Graduado,Universitario,1
2021-08-27,Universidad De Lima,Adm. De Empresas,Graduado,Universitario,2
2021-08-27,Universidad Tecnologica Del Peru,Adm. De Empresas,En Curso,Universitario,1
2021-08-27,Escuela De Recursos Humanos,Recursos Humanos / Relac. Ind.,En Curso,Terciario/Tecnico,5
2021-08-27,Universidad Inca Garcilaso De La Vega,Psicologia,En Curso,Universitario,1
2021-08-27,Marketeate Escuela,Marketing / Comercializacion,Graduado,Otro,5
2021-08-27,Universidad Privada Telesup,Adm. De Empresas,Graduado,Universitario,3
2021-08-27,Universidad Ricardo Palma,Psicologia,En Curso,Universitario,1
2021-09-06,Universidad Nacional Pedro Ruiz Gallo,Comercio Int./Ext.,En Curso,Universitario,1
2021-08-27,Escuela De Post Grado - Universidad San Ignacio De Loyola,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,4
2021-08-27,Universidad San Ignacio De Loyola,Adm. De Empresas,Graduado,Universitario,1
2021-08-27,Universidad Inca Garcilaso De La Vega,Psicologia,Graduado,Universitario,1
2021-08-27,Instituto Superior De Comunicacion Y Diseno Toulouse Lautrec,Diseno Grafico,Graduado,Terciario/Tecnico,3
2021-08-27,Universidad Cesar Vallejo,Psicologia,Graduado,Universitario,1
2021-08-27,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,Graduado,Universitario,1
2021-08-27,Universidad De San Martin De Porres,Adm. De Empresas,Graduado,Otro,3
2021-08-27,Universidad Inca Garcilaso De La Vega,Adm. De Empresas,Graduado,Universitario,2
2021-08-27,Universidad Esan,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,3
2021-09-06,Escuela Empresarial Del Peru,Recursos Humanos / Relac. Ind.,Graduado,Otro,9
2021-09-05,Ccl - Educa Webinar,Recursos Humanos / Relac. Ind.,En Curso,Otro,5
2021-09-05,Universidad Nacional San Agustin De Arequipa,Otra,En Curso,Otro,3
2021-09-05,Universidad Peruana Cayetano Heredia,Psicologia,Graduado,Universitario,1
2021-09-05,Universidad Peruana De Ciencias Aplicadas,Recursos Humanos / Relac. Ind.,Graduado,Universitario,1
2021-09-04,Universidad De San Martin De Porres,Recursos Humanos / Relac. Ind.,Graduado,Otro,2
2021-09-09,Universidad Femenina Del Sagrado Corazon,Psicologia,Graduado,Universitario,1
2021-09-04,Camara De Comercio De Lima,Recursos Humanos / Relac. Ind.,En Curso,Otro,2
2021-09-04,Universidad De Lima,Adm. De Empresas,En Curso,Universitario,1
2021-09-04,Universidad De San Martin De Porres,Psicologia,En Curso,Universitario,4
2021-09-03,Universidad Inca Garcilaso De La Vega,Psicologia,Graduado,Universitario,1
2021-09-03,Universidad De San Martin De Porres,Recursos Humanos / Relac. Ind.,Graduado,Universitario,1
2021-09-03,Universidad Nacional Del Callao,Adm. De Empresas,Graduado,Universitario,1
2021-09-03,Universidad Nacional Del Callao,Adm. De Empresas,Graduado,Universitario,1
2021-09-03,Escuela Empresarial Del Peru,Recursos Humanos / Relac. Ind.,Graduado,Otro,2
2021-09-03,Instituto Superior De Comunicacion Y Diseno Toulouse Lautrec,Diseno Grafico,Graduado,Otro,3
2021-09-03,Otro,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,4
2021-09-09,Universidad Del Pacifico,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,2
2021-09-03,Esan,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,3
2021-09-03,Utp,Contabilidad / Auditoria,En Curso,Universitario,2
2021-09-03,Contacta Gestores,Adm. De Empresas,Graduado,Posgrado,8
2021-09-03,Universidad Peruana Del Norte,Contabilidad / Auditoria,En Curso,Universitario,2
2021-09-03,Step To Business,Recursos Humanos / Relac. Ind.,Graduado,Universitario,6
2021-09-02,Universidad Nacional Federico Villarreal,Trabajo Social,Graduado,Universitario,1
2021-09-02,Universidad Peruana De Las Americas,Adm. De Empresas,Graduado,Universitario,1
2021-09-02,Universidad Inca Garcilaso De La Vega,Adm. De Empresas,Graduado,Universitario,2
2021-09-02,Universidad San Ignacio Del Loyola,Ing. Informatica,Graduado,Universitario,1
2021-09-02,Universidad Privada Del Norte,Adm. De Empresas,En Curso,Universitario,4
2021-09-09,Senati - Programa Nacional De Informatica,Adm. De Empresas,Graduado,Otro,3
2021-09-02,Universidad Cesar Vallejo,Psicologia,Graduado,Universitario,2
2021-09-02,Otros,Otra,Graduado,Otro,7
2021-09-02,Universidad Nacional Mayor De San Marcos,Psicologia,En Curso,Universitario,1
2021-09-02,Universidad Privada De Piura,Marketing / Comercializacion,Graduado,Universitario,1
2021-09-02,Instituto Peruano De Administracion De Empresas - Ipae,Recursos Humanos / Relac. Ind.,En Curso,Terciario/Tecnico,1
2021-09-02,Universidad Nacional Mayor De San Marcos,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,4
2021-09-02,Universidad Cientifica Del Sur,Psicologia,Graduado,Universitario,1
2021-09-02,Upc,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,5
2021-09-02,Netzun,Programacion,Graduado,Otro,5
2021-09-02,Unir (Uni. De Rioja),Psicopedagogia,Graduado,Terciario/Tecnico,3
2021-09-08,Universidad Del Pacifico,Adm. De Empresas,Graduado,Universitario,1
2021-09-02,Cerem Business School,Ing. Comercial,En Curso,Posgrado,4
2021-09-02,Universidad Nacional Del Callao,Adm. De Empresas,Graduado,Universitario,1
2021-09-02,Universidad Femenina Del Sagrado Corazon,Psicologia,Graduado,Posgrado,1
2021-09-02,Pontificia Universidad Catolica Del Peru,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,4
2021-09-02,Universidad Inca Garcilaso De La Vega,Trabajo Social,Graduado,Universitario,1
2021-09-02,Sistemas Uni_Excel Avanzado,Adm. De Empresas,Graduado,Otro,3
2021-09-02,Camara De Comercio De Lima,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,2
2021-09-02,Universidad De Lima,Psicologia,Graduado,Universitario,1
2021-09-02,Eada Business School,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,7
2021-09-02,Pontificia Universidad Catolica Del Peru,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,2
2021-09-08,Universidad Nacional Mayor De San Marcos,Adm. De Empresas,Graduado,Universitario,1
2021-09-02,Universidad Nacional Mayor De San Marcos,Adm. De Empresas,Graduado,Universitario,1
2021-09-01,Centrum- Universidad Catolica Del Peru,Adm. De Empresas,Graduado,Master,2
2021-09-01,Universidad Peruana De Ciencias Aplicadas,Comunicacion Social,Graduado,Universitario,1
2021-09-01,Universidad Tecnologica Del Peru,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,3
2021-09-01,Universidad Del Pacifico,Adm. De Empresas,Graduado,Universitario,1
2021-09-01,Universidad Continental De Ciencias E Ingenieria,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,4
2021-09-01,Universidad Del Pacifico,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,2
2021-09-01,Pontificia Universidad Catolica Del Peru,Adm. Y Gestion Publica,Graduado,Universitario,1
2021-09-01,Universidad De San Martin De Porres,Recursos Humanos / Relac. Ind.,Graduado,Universitario,1
2021-09-01,Upc,Recursos Humanos / Relac. Ind.,En Curso,Universitario,2
2021-09-08,Pontificia Universidad Catolica Del Peru,Ing. Industrial,En Curso,Universitario,1
2021-09-01,Utp,Ing. Industrial,Graduado,Universitario,1
2021-09-01,Universidad De Lima,Ing. Industrial,Graduado,Universitario,1
2021-09-01,Unife,Psicologia,Graduado,Universitario,1
2021-09-01,Universidad Peruana De Ciencias Aplicadas,Adm. De Empresas,Graduado,Universitario,1
2021-09-01,Pontificia Universidad Catolica Del Peru,Recursos Humanos / Relac. Ind.,En Curso,Posgrado,4
2021-09-01,Camara De Comercio De Lima,Recursos Humanos / Relac. Ind.,En Curso,Otro,3
2021-09-01,Universidad Nacional De Ingenieria,Seguridad Industrial,Graduado,Otro,2
2021-09-01,Universidad Nacional Del Callao,Economia,Graduado,Universitario,1
2021-09-01,Universidad Nacional Del Callao,Ing. Industrial,Graduado,Universitario,1
2021-09-01,Universidad Esan,Recursos Humanos / Relac. Ind.,Graduado,Posgrado,2
2021-09-09,Universidad De San Martin De Porres,Recursos Humanos / Relac. Ind.,Graduado,Universitario,3
2019-11-20,Instituto Superior Tecnologico Metropolitano,Ing. En Sistemas,Graduado,Otro,5
2019-11-18,Instituto Cibertec,Ing. Telecomunicaciones,En Curso,Otro,3
2019-11-18,Universidad Cesar Vallejo,Ing. En Sistemas,En Curso,Universitario,2
2019-11-15,Universidad Cesar Vallejo,Ing. En Sistemas,Graduado,Universitario,1
2019-11-15,Centro De Idiomas De La Universidad Del Pacifico,Tecnologias De La Informacion,Graduado,Otro,2
2019-11-15,Universidad Privada San Juan Bautista,Ing. En Sistemas,Graduado,Universitario,1
2019-11-14,Universidad Peruana De Ciencias Aplicadas,Ing. - Otros,En Curso,Universitario,1
2019-11-14,Universidad San Ignacio De Loyola,Ing. En Sistemas,En Curso,Posgrado,2
2019-11-14,Universidad Nacional De Ingenieria,Tecnologias De La Informacion,En Curso,Universitario,6
2019-11-13,Pontificia Universidad Catolica Del Peru,Ing. Informatica,Graduado,Universitario,1
2019-11-19,Certero,Tecnologias De La Informacion,Graduado,Universitario,3
2019-11-13,Instituto Cibertec,Computacion / Informatica,Graduado,Terciario/Tecnico,1
2019-11-12,Universidad San Ignacio De Loyola,Ing. En Sistemas,En Curso,Universitario,2
2019-11-12,Universidad De San Martin De Porres,Tecnico,En Curso,Secundario,3
2019-11-12,Universidad Esan,Ing. - Otros,Graduado,Otro,4
2019-11-11,Instituto Cibertec,Tecnologias De La Informacion,En Curso,Otro,6
2019-11-11,Universidad Norbert Wiener,Ing. En Sistemas,Graduado,Universitario,2
2019-11-09,Instituto Superior Peruano Aleman - Ipal,Tecnico,Graduado,Otro,1
2019-11-09,Isil,Tecnologias De La Informacion,En Curso,Terciario/Tecnico,6
2019-11-09,Universidad Privada Del Norte,Ing. Industrial,Graduado,Universitario,2
2019-11-19,Universidad San Ignacio Del Loyola,Tecnologias De La Informacion,En Curso,Universitario,2
2019-11-08,Universidad Nacional Del Callao,Ing. En Sistemas,En Curso,Universitario,1
2019-11-08,Universidad Nacional Mayor De San Marcos,Ing. En Sistemas,Graduado,Universitario,1
2019-11-07,"Isil Tech, Instituto San Ignacio De Loyola",Computacion / Informatica,En Curso,Terciario/Tecnico,5
2019-11-07,Universidad Nacional De Ingenieria,Ing. En Sistemas,Graduado,Terciario/Tecnico,19
2019-11-07,Tecsup,Telecomunicaciones,Graduado,Terciario/Tecnico,3
2019-11-07,Universidad Nacional Federico Villarreal,Ing. Informatica,Graduado,Universitario,1
2019-11-07,Tecsup,Tecnologias De La Informacion,Graduado,Terciario/Tecnico,1
2019-11-07,Miriadax - Fundacion Telefonica,Ing. En Sistemas,Graduado,Otro,11
2019-11-07,Tecsup,Tecnologias De La Informacion,En Curso,Otro,3
2019-11-19,Pontificia Universidad Catolica Del Peru,Ing. En Sistemas,En Curso,Otro,5
2019-11-07,Universidad Tecnologica Del Peru,Computacion / Informatica,En Curso,Universitario,1
2019-11-07,Universidad Nacional San Luis Gonzaga - Ica,Electronica,Graduado,Universitario,1
2019-11-07,Universidad Cesar Vallejo,Ing. - Otros,Graduado,Universitario,1
2019-11-06,Sistemas Uni,Ing. Informatica,Graduado,Terciario/Tecnico,6
2019-11-06,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Terciario/Tecnico,3
2019-11-06,Universidad Inca Garcilaso De La Vega,Ing. Informatica,Graduado,Universitario,1
2019-11-06,Universidad Nacional Del Santa,Ing. En Sistemas,En Curso,Master,2
2019-11-06,Universidad Esan,Tecnologias De La Informacion,Graduado,Posgrado,4
2019-11-06,Universidad Ricardo Palma,Ing. Industrial,Graduado,Universitario,1
2019-11-19,Cesca,Tecnico,Graduado,Terciario/Tecnico,3
2019-11-06,Aenor Peru,Tecnologias De La Informacion,Graduado,Otro,5
