postulationDate,studyCenter,careerField,careerStatus,careerDegree,studiesNumber
2022-07-15,Universidad Nacional De Ingenieria,Tecnologias De La Informacion,Graduado,Otro,2
2022-07-15,Instituto Cibertec,Programacion,Graduado,Universitario,3
2022-09-22,Jb Group Enterprise,Tecnologias De La Informacion,Graduado,Posgrado,15
2022-07-15,Jb Enteprise Group,Procesos / Calidad Total,Graduado,Otro,3
2022-07-14,Universidad Nacional De San Martin,Ing. En Sistemas,Graduado,Universitario,1
2022-07-13,Universidad Cesar Vallejo,Ing. En Sistemas,Graduado,Universitario,1
2022-07-13,Universidad De San Martin De Porres,Contabilidad / Auditoria,Graduado,Posgrado,1
2022-07-12,Universidad Peruana De Ciencias E Informatica,Adm. De Empresas,Graduado,Universitario,2
2022-07-12,Universidad Nacional San Luis Gonzaga - Ica,Ing. En Sistemas,Graduado,Universitario,1
2022-07-12,Universidad Peruana De Ciencias Aplicadas,Ing. Informatica,Graduado,Universitario,1
2022-07-12,Universidad Peruana De Ciencias Aplicadas,Ing. Industrial,En Curso,Universitario,1
2022-04-20,Universidad Nacional De San Martin,Ing. En Sistemas,Graduado,Universitario,1
2022-04-08,Universidad Nacional Agraria La Molina,Procesos / Calidad Total,Graduado,Posgrado,2
2022-09-19,Instituto De Formacion Bancaria Ifb,Adm. De Empresas,Graduado,Terciario/Tecnico,3
2022-03-30,Universidad Cesar Vallejo - Lima,Ing. Informatica,Graduado,Universitario,1
2022-03-28,Universidad De Lima,Ing. Industrial,Graduado,Universitario,1
2022-09-10,Universidad Privada San Juan Bautista,Ing. En Sistemas,Graduado,Universitario,1
2022-09-06,Universidad Senor De Sipan,Adm. De Empresas,Graduado,Universitario,2
2022-09-03,Universidad Cesar Vallejo,Ing. Industrial,Graduado,Universitario,1
2022-09-02,Itsystems Systems,Analisis De Sistemas,Graduado,Otro,4
2022-10-06,Universidad San Ignacio De Loyola,Telecomunicaciones,Graduado,Universitario,2
2022-06-22,Universidad Nacional Mayor De San Marcos,Adm. De Empresas,Graduado,Universitario,1
2022-06-12,Universidad De Salamanca,Tecnologias De La Informacion,Graduado,Master,2
2022-06-07,Universidad Ricardo Palma,Ing. Comercial,En Curso,Posgrado,2
2022-05-30,Universidad De Lima,Ing. Industrial,Graduado,Universitario,1
2022-05-26,Universidad Tecnologica Del Peru,Ciencias Fisicas,Graduado,Master,2
2022-07-06,Universidad Esan,Finanzas,Graduado,Posgrado,2
2022-04-29,Utp,Finanzas,En Curso,Universitario,3
2022-03-22,Universidad De La Rioja,Ing. Industrial,En Curso,Master,2
2022-04-25,Tecsup,Programacion,En Curso,Terciario/Tecnico,4
2022-04-20,Universidad Norbert Wiener,Computacion / Informatica,Abandonado,Universitario,2
2022-04-11,Tecsup,Ing. Industrial,En Curso,Posgrado,7
2022-03-29,Otro,Ing. En Sistemas,Graduado,Posgrado,5
2022-03-28,Universidad Tecnologica Del Peru,Ing. Informatica,En Curso,Universitario,2
2022-03-25,Instituto Cibertec,Computacion / Informatica,En Curso,Terciario/Tecnico,1
2022-03-24,Universidad Alas Peruanas,Ing. En Sistemas,Graduado,Universitario,2
2022-03-24,Utp,Tecnologias De La Informacion,En Curso,Universitario,2
2023-04-01,Upc,Ing. En Sistemas,En Curso,Universitario,1
2023-03-24,Universidad Ricardo Palma,Ing. Industrial,Graduado,Universitario,1
2022-09-21,Tecsup,Transporte,Graduado,Otro,3
2022-09-20,Universidad Jose Antonio Paez,Adm. De Empresas,Graduado,Posgrado,5
2022-09-20,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,1
